YearTerm,CrsPBADept,CrsPBAColl,CrsPBADiv,Subject,Course,CourseTitle,Level,CrsLvlNum,Activity_Type,Instruction_Mode,Hours,N_EOT,N_ENROLL,N_GRADE,PCT_GRADE,AVG_GRD,PCT_A,PCT_B,PCT_C,PCT_D,PCT_F,PCT_C_MINUS_OR_BELOW,PCT_DF,PCT_WDRAW,PCT_INCOMP,N_PASS,N_NOCRED,N_INCOMP,Workload_Raw,Workload_Hrs_Wk,AvgCourse,AvgInstructor,N_Ret,NIntrFCQ,RAP,Honors,insname1
20067,CSCI,EN,,CSCI,1200,INTRO TO COMPUTING,Lower,1XXX,LEC - Lecture,,4,58,61,58,100%,2.63,38%,26%,14%,7%,16%,24%,22%,5%,0%,0,0,0,2.42,4-6,3.41,3.64,28,1,0,0,"ELLIS, CLARENCE"
20067,CSCI,EN,,CSCI,1300,COMP SCI I: PROGRAMMING,Lower,1XXX,LEC - Lecture,,4,25,25,25,100%,2.55,28%,32%,24%,4%,12%,20%,16%,0%,0%,0,0,0,2.93,7-9,4.59,5.00,17,1,0,0,"NUTT, GARY"
20067,CSCI,EN,,CSCI,1300,COMP SCI I: PROGRAMMING,Lower,1XXX,LEC - Lecture,,4,24,24,23,96%,3.50,74%,9%,17%,0%,0%,0%,0%,0%,4%,0,0,1,2.72,7-9,5.37,5.74,19,1,0,0,"GRUNWALD, DIRK C"
20067,CSCI,EN,,CSCI,1300,COMP SCI I: PROGRAMMING,Lower,1XXX,LEC - Lecture,,4,158,161,158,100%,2.62,20%,34%,32%,8%,6%,15%,14%,2%,0%,0,0,0,2.82,7-9,4.25,4.55,97,1,0,0,"SHERBA, SUSANNE"
20067,CSCI,EN,,CSCI,2270,COMP SCI II: DATA STRUCT,Lower,2XXX,LEC - Lecture,,4,51,57,49,96%,2.78,33%,37%,12%,16%,2%,22%,18%,11%,4%,0,0,2,3.09,7-9,5.26,5.66,32,1,0,0,"MAIN, MICHAEL G"
20067,CSCI,EN,,CSCI,2830,SP TPS-INTRO COMP SCI,Lower,2XXX,LEC - Lecture,,1,11,11,11,100%,3.04,45%,18%,36%,0%,0%,27%,0%,0%,0%,0,0,0,1.17,0-3,5.17,5.67,6,1,0,0,"SIEK, JEREMY G"
20067,CSCI,EN,,CSCI,3104,ALGORITHMS,Upper,3XXX,LEC - Lecture,,4,34,35,34,100%,2.91,32%,50%,6%,3%,9%,12%,12%,3%,0%,0,0,0,3.29,7-9,4.88,5.54,26,1,0,0,"BLACK, JOHN"
20067,CSCI,EN,,CSCI,3155,PRINCIP OF PROG LANGS,Upper,3XXX,LEC - Lecture,,4,41,44,41,100%,3.07,49%,29%,15%,2%,5%,17%,7%,7%,0%,0,0,0,3.81,10-12,4.26,5.19,31,1,0,0,"MAIN, MICHAEL G"
20067,CSCI,EN,,CSCI,3202,INTRO ARTIFICIAL INTELL,Upper,3XXX,LEC - Lecture,,3,41,41,40,98%,3.52,77%,13%,0%,2%,7%,10%,10%,0%,2%,0,0,1,2.48,4-6,2.60,2.84,26,1,0,0,"GRUDIC, GREGORY"
20067,CSCI,EN,,CSCI,3287,DATABASES INFO SYSTEMS,Upper,3XXX,LEC - Lecture,,3,43,44,42,98%,3.24,50%,38%,5%,0%,7%,7%,7%,2%,2%,0,0,1,2.71,7-9,4.16,4.24,25,1,0,0,"KING, ROGER A"
20067,CSCI,EN,,CSCI,3308,SOFTWARE ENG METHODS,Upper,3XXX,LEC - Lecture,,3,38,38,37,97%,2.80,32%,27%,32%,5%,3%,8%,8%,0%,0%,0,0,0,2.47,4-6,4.67,4.89,18,1,0,0,"ANDERSON, KENNETH M"
20067,CSCI,EN,,CSCI,3434,COMPUTER SCIENCE THRY 1,Upper,3XXX,LEC - Lecture,,3,15,15,15,100%,4.00,100%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,1.43,0-3,3.79,4.50,14,1,0,0,"EHRENFEUCHT, ANDRZEJ"
20067,CSCI,EN,,CSCI,3656,NUMERICAL COMP 1,Upper,3XXX,LEC - Lecture,,3,13,13,13,100%,2.44,15%,38%,31%,8%,8%,23%,15%,0%,0%,0,0,0,2.50,7-9,5.00,5.33,9,1,0,0,"BYRD, RICHARD"
20067,CSCI,EN,,CSCI,3702,COGNITIVE SCIENCE,Upper,3XXX,LEC - Lecture,,3,28,31,22,80%,2.93,41%,41%,5%,0%,14%,14%,14%,9%,20%,0,0,6,3.03,7-9,4.78,5.24,19,2,0,0,"RUPERT, ROBERT D"
20067,CSCI,EN,,CSCI,4229,COMPUTER GRAPHICS,Upper,4XXX,LEC - Lecture,,3,39,40,39,100%,4.00,100%,0%,0%,0%,0%,0%,0%,2%,0%,0,0,0,3.04,7-9,5.26,5.44,27,1,0,0,"SCHREUDER, WILLEM A"
20067,CSCI,EN,,CSCI,4273,NETWORK SYSTEMS,Upper,4XXX,LEC - Lecture,,3,21,21,21,100%,3.54,67%,24%,10%,0%,0%,5%,0%,0%,0%,0,0,0,3.69,10-12,5.31,5.33,16,1,0,0,"HAN, RICHARD YEHWHEI"
20067,CSCI,EN,,CSCI,4308,SOFTWARE ENG PROJECT 1,Upper,4XXX,LEC - Lecture,,4,49,49,49,100%,3.37,55%,24%,20%,0%,0%,2%,0%,0%,0%,0,0,0,4.11,10-12,3.65,4.11,36,1,0,0,"SANDERS, BRUCE"
20067,CSCI,EN,,CSCI,4448,OO ANALYSIS & DESIGN,Upper,4XXX,LEC - Lecture,,3,25,25,25,100%,3.20,48%,40%,0%,8%,4%,12%,12%,0%,0%,0,0,0,2.80,7-9,4.13,4.40,15,1,0,0,"SHERBA, SUSANNE"
20067,CSCI,EN,,CSCI,4830,SPECIAL TOPICS COMP SCI,Upper,4XXX,LEC - Lecture,,3,38,38,36,95%,3.81,89%,8%,0%,0%,3%,3%,3%,0%,5%,0,0,2,2.39,4-6,4.95,4.95,20,1,0,0,"KING, ROGER A"
20067,CSCI,EN,,CSCI,4838,USER INTERFACE DESIGN,Upper,4XXX,LEC - Lecture,,3,42,43,41,98%,3.36,54%,41%,2%,2%,0%,2%,2%,2%,2%,0,0,1,3.78,10-12,4.16,4.32,13,2,0,0,"SUMNER, TAMMY R"
20067,CSCI,EN,,CSCI,5444,INTRO TO THEORY OF COMP,Masters,5XXX,LEC - Lecture,,3,20,21,19,95%,3.74,74%,26%,0%,0%,0%,0%,0%,5%,5%,0,0,1,3.93,10-12,2.93,3.13,15,1,0,0,"GOLDBERG, DEBRA S"
20067,CSCI,EN,,CSCI,5582,ARTIFICIAL INTELLIGENCE,Masters,5XXX,LEC - Lecture,,3,26,26,26,100%,3.57,58%,42%,0%,0%,0%,0%,0%,0%,0%,0,0,0,3.04,7-9,5.24,5.36,25,1,0,0,"MARTIN, JAMES H"
20067,CSCI,EN,,CSCI,5606,PRIN OF NUM COMPUTATION,Masters,5XXX,LEC - Lecture,,3,13,15,12,92%,3.29,58%,25%,17%,0%,0%,8%,0%,13%,8%,0,0,1,3.73,10-12,4.82,5.45,11,1,0,0,"CAI, XIAO-CHUAN"
20067,CSCI,EN,,CSCI,5622,MACHINE LEARNING,Masters,5XXX,LEC - Lecture,,3,23,24,21,91%,3.88,95%,5%,0%,0%,0%,0%,0%,4%,9%,0,0,2,2.90,7-9,4.71,4.71,21,1,0,0,"GRUDIC, GREGORY"
20067,CSCI,EN,,CSCI,7900,IND STDY-DOCTOR'S LEVEL,Doctoral,7XXX,IND - Ind Study,,1,19,19,19,100%,3.66,84%,11%,0%,5%,0%,5%,5%,0%,0%,0,0,0,,,,,,,0,0,"FISCHER, GERHARD"
20071,CSCI,EN,,CSCI,1200,INTRO TO COMPUTING,Lower,1XXX,LEC - Lecture,,4,76,81,76,100%,2.37,18%,37%,22%,8%,14%,22%,22%,6%,0%,0,0,0,2.14,4-6,3.75,4.52,25,1,0,0,"SHERBA, SUSANNE"
20071,CSCI,EN,,CSCI,1300,COMP SCI I: PROGRAMMING,Lower,1XXX,LEC - Lecture,,4,162,175,159,98%,2.71,33%,31%,19%,9%,8%,21%,17%,7%,2%,0,0,3,2.81,7-9,4.82,5.17,93,1,0,0,"MAIN, MICHAEL G"
20071,CSCI,EN,,CSCI,2270,COMP SCI II: DATA STRUCT,Lower,2XXX,LEC - Lecture,,4,76,81,75,99%,2.77,44%,25%,12%,3%,16%,21%,19%,6%,1%,0,0,1,2.93,7-9,3.92,3.74,50,1,0,0,"MISHRA, SHIVAKANT"
20071,CSCI,EN,,CSCI,3104,ALGORITHMS,Upper,3XXX,LEC - Lecture,,4,42,45,41,98%,2.96,41%,34%,17%,0%,7%,15%,7%,7%,2%,0,0,1,3.08,7-9,4.39,4.10,29,1,0,0,"GABOW, HAROLD N"
20071,CSCI,EN,,CSCI,3155,PRINCIP OF PROG LANGS,Upper,3XXX,LEC - Lecture,,4,33,34,32,97%,3.35,56%,25%,19%,0%,0%,0%,0%,3%,3%,0,0,1,2.95,7-9,5.00,5.32,20,1,0,0,"MAIN, MICHAEL G"
20071,CSCI,EN,,CSCI,3434,COMPUTER SCIENCE THRY 1,Upper,3XXX,LEC - Lecture,,3,39,39,38,97%,3.32,58%,21%,18%,0%,3%,3%,3%,0%,3%,0,0,1,1.58,4-6,3.55,4.21,33,1,0,0,"EHRENFEUCHT, ANDRZEJ"
20071,CSCI,EN,,CSCI,3656,NUMERICAL COMP 1,Upper,3XXX,LEC - Lecture,,3,27,28,27,100%,2.44,22%,41%,11%,11%,15%,30%,26%,4%,0%,0,0,0,2.00,4-6,4.05,4.53,19,1,0,0,"BYRD, RICHARD"
20071,CSCI,EN,,CSCI,3753,OPERATING SYSTEMS,Upper,3XXX,LEC - Lecture,,4,55,57,55,100%,2.55,24%,35%,20%,16%,5%,25%,22%,4%,0%,0,0,0,3.59,10-12,4.14,4.26,35,1,0,0,"NUTT, GARY"
20071,CSCI,EN,,CSCI,4113,UNIX SYSTEM ADMIN,Upper,4XXX,LEC - Lecture,,3,61,61,60,98%,3.34,52%,30%,18%,0%,0%,5%,0%,0%,0%,0,1,0,2.52,7-9,5.33,5.44,46,1,0,0,"SCHENK, CHRISTOPHER B"
20071,CSCI,EN,,CSCI,4273,NETWORK SYSTEMS,Upper,4XXX,LEC - Lecture,,3,29,29,29,100%,3.52,48%,52%,0%,0%,0%,0%,0%,0%,0%,0,0,0,5.00,13-15,5.00,5.50,6,1,0,0,"HAN, RICHARD YEHWHEI"
20071,CSCI,EN,,CSCI,4318,SOFTWARE ENG PROJECT 2,Upper,4XXX,LEC - Lecture,,4,49,49,49,100%,3.37,59%,24%,10%,6%,0%,12%,6%,0%,0%,0,0,0,5.32,13-15,4.18,4.52,27,1,0,0,"SANDERS, BRUCE"
20071,CSCI,EN,,CSCI,4753,COMP PERFORM MODELING,Upper,4XXX,LEC - Lecture,,3,20,22,20,100%,3.65,85%,5%,0%,10%,0%,10%,10%,8%,0%,0,0,0,3.21,7-9,4.60,4.80,15,1,0,0,"GRUNWALD, DIRK C"
20071,CSCI,EN,,CSCI,4830,TPC-DESIGN LRN COLLABOR,Upper,4XXX,LEC - Lecture,,3,12,13,12,100%,3.45,50%,50%,0%,0%,0%,0%,0%,7%,0%,0,0,0,2.89,7-9,2.89,3.44,9,1,0,0,"FISCHER, GERHARD"
20071,CSCI,EN,,CSCI,5454,DESIGN ANLYS OF ALGOS,Masters,5XXX,LEC - Lecture,,3,16,17,16,100%,3.46,56%,31%,13%,0%,0%,0%,0%,6%,0%,0,0,0,4.00,10-12,4.80,4.87,15,1,0,0,"GABOW, HAROLD N"
20071,CSCI,EN,,CSCI,5817,DATABASE SYSTEMS,Masters,5XXX,LEC - Lecture,,3,37,38,35,95%,3.84,94%,6%,0%,0%,0%,0%,0%,3%,5%,0,0,2,2.61,7-9,4.38,4.54,27,1,0,0,"KING, ROGER A"
20071,CSCI,EN,,CSCI,5828,FOUNDATIONS/SFTWARE ENGR,Masters,5XXX,LEC - Lecture,,3,30,30,30,100%,3.87,93%,3%,3%,0%,0%,0%,0%,0%,0%,0,0,0,3.25,7-9,4.33,4.92,24,1,0,0,"ANDERSON, KENNETH M"
20071,CSCI,EN,,CSCI,5832,NATURAL LANG PROCESSING,Masters,5XXX,LEC - Lecture,,3,29,29,29,100%,3.83,97%,3%,0%,0%,0%,0%,0%,0%,0%,0,0,0,3.00,7-9,5.29,5.54,24,1,0,0,"MARTIN, JAMES H"
20071,CSCI,EN,,CSCI,6448,OO ANALYSIS & DESIGN,Masters,6XXX,LEC - Lecture,,3,21,24,21,100%,2.93,29%,38%,29%,5%,0%,14%,5%,12%,0%,0,0,0,3.20,7-9,3.10,3.40,10,1,0,0,"SIEK, JEREMY G"
20071,CSCI,EN,,CSCI,7222,TPCS NONSYMBOLIC AI,Doctoral,7XXX,LEC - Lecture,,3,16,17,16,100%,3.36,81%,6%,0%,0%,13%,13%,13%,6%,0%,0,0,0,2.64,7-9,5.07,5.40,15,1,0,0,"MOZER, MICHAEL C"
20071,CSCI,EN,,CSCI,7772,TPCS-COGNITIVE SCIENCE,Doctoral,7XXX,SEM - Seminar,,1,15,15,15,100%,4.00,100%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,,,,,0,1,1,0,"SUMNER, TAMMY R"
20077,CSCI,EN,,CSCI,1000,CS AS FIELD OF WK & STDY,Lower,1XXX,LEC - Lecture,,1,40,42,40,100%,3.20,38%,45%,17%,0%,0%,0%,0%,5%,0%,0,0,0,1.32,0-3,3.62,4.14,21,1,0,0,"LEWIS, CLAYTON H"
20077,CSCI,EN,,CSCI,1220,VR: INTRO TO COMP SCI,Lower,1XXX,LEC - Lecture,,4,40,49,40,100%,2.72,45%,12%,30%,2%,10%,35%,12%,16%,0%,0,0,0,2.42,4-6,5.05,5.69,36,1,0,0,"BENNETT, JOHN"
